stimulus,order,trial_num,trial_type,targetPos,distPos,targetOnset
simpkidsL1.012,1,1,cs,R,L,6.242
simpkidsL1.015,1,2,inf,L,R,6.41
simpkidsL1.017,1,3,cd,R,L,6.75
simpkidsL1.020,1,4,cs,L,R,6.111
simpkidsL1.022,1,5,inf,L,R,6.213
simpkidsL1.024,1,6,cs,R,L,6.617
simpkidsL1.027,1,7,cs,L,R,6.532
simpkidsL1.029,1,8,cd,L,R,6.146
simpkidsL1.032,2,9,cd,L,R,6.398
simpkidsL1.034,2,10,cs,R,L,6.161
simpkidsL1.036,2,11,cs,R,L,6.236
simpkidsL1.039,2,12,inf,R,L,6.127
simpkidsL1.041,2,13,cs,L,R,6.149
simpkidsL1.043,2,14,cd,R,L,6.724
simpkidsL1.046,2,15,inf,R,L,6.401
simpkidsL1.048,2,16,cs,L,R,6.252
simpkidsL2.012,1,1,cs,R,L,6.724
simpkidsL2.015,1,2,inf,R,L,6.588
simpkidsL2.017,1,3,cd,L,R,6.146
simpkidsL2.020,1,4,cs,R,L,6.487
simpkidsL2.022,1,5,inf,L,R,6.252
simpkidsL2.024,1,6,cs,R,L,6.429
simpkidsL2.027,1,7,cs,L,R,6.213
simpkidsL2.029,1,8,cd,R,L,6.249
simpkidsL2.032,2,9,cd,L,R,6.522
simpkidsL2.034,2,10,cs,L,R,6.087
simpkidsL2.036,2,11,cs,R,L,6.157
simpkidsL2.039,2,12,inf,R,L,6.457
simpkidsL2.041,2,13,cs,L,R,6.337
simpkidsL2.043,2,14,cd,L,R,6.591
simpkidsL2.046,2,15,inf,R,L,6.219
simpkidsL2.048,2,16,cs,L,R,6.41
SIMPIMP_2AFC-L1.014,1,1,cs,R,L,6.242
SIMPIMP_2AFC-L1.017,1,2,inf,L,R,6.41
SIMPIMP_2AFC-L1.019,1,3,cd,R,L,6.75
SIMPIMP_2AFC-L1.021,1,4,cs,L,R,6.111
SIMPIMP_2AFC-L1.024,1,5,inf,L,R,6.213
SIMPIMP_2AFC-L1.026,1,6,cs,R,L,6.617
SIMPIMP_2AFC-L1.028,2,7,cs,L,R,6.532
SIMPIMP_2AFC-L1.030,2,8,cd,L,R,6.146
SIMPIMP_2AFC-L1.033,2,9,cd,L,R,6.398
SIMPIMP_2AFC-L1.035,2,10,cs,R,L,6.161
SIMPIMP_2AFC-L1.037,2,11,cs,R,L,6.236
SIMPIMP_2AFC-L1.040,2,12,inf,R,L,6.127
SIMPIMP_2AFC-L1.042,2,13,cs,L,R,6.149
SIMPIMP_2AFC-L1.044,2,14,cd,R,L,6.724
SIMPIMP_2AFC-L1.047,3,15,inf,R,L,6.401
SIMPIMP_2AFC-L1.049,3,16,cs,L,R,6.252
SIMPIMP_2AFC-L1.051,3,17,inf,L,R,6.429
SIMPIMP_2AFC-L1.054,3,18,cd,L,R,6.198
SIMPIMP_2AFC-L1.056,3,19,cs,R,L,6.249
SIMPIMP_2AFC-L1.058,3,20,cs,L,R,6.457
SIMPIMP_2AFC-L1.061,3,21,cs,R,L,6.647
SIMPIMP_2AFC-L1.063,3,22,cs,L,R,6.502
SIMPIMP_2AFC-L1.065,3,23,inf,R,L,6.208
SIMPIMP_2AFC-L1.067,3,24,cd,R,L,6.219
simpAdultL2.011,1,1,cs,R,L,6.724
simpAdultL2.014,1,2,inf,R,L,6.588
simpAdultL2.016,1,3,cd,L,R,6.146
simpAdultL2.018,1,4,cs,R,L,6.487
simpAdultL2.021,1,5,inf,L,R,6.252
simpAdultL2.023,1,6,cs,R,L,6.429
simpAdultL2.025,1,7,cs,L,R,6.213
simpAdultL2.027,1,8,cd,R,L,6.249
simpAdultL2.030,2,9,cd,L,R,6.522
simpAdultL2.032,2,10,cs,L,R,6.087
simpAdultL2.034,2,11,cs,R,L,6.157
simpAdultL2.037,2,12,inf,R,L,6.457
simpAdultL2.039,2,13,cs,L,R,6.337
simpAdultL2.041,2,14,cd,L,R,6.591
simpAdultL2.044,2,15,inf,R,L,6.219
simpAdultL2.046,2,16,cs,L,R,6.41
simpAdultL2.048,3,17,inf,L,R,6.111
simpAdultL2.051,3,18,cd,R,L,6.161
simpAdultL2.053,3,19,cs,L,R,6.697
simpAdultL2.055,3,20,cs,L,R,6.213
simpAdultL2.058,3,21,cs,L,R,6.224
simpAdultL2.060,3,22,cs,R,L,6.196
simpAdultL2.062,3,23,inf,L,R,6.616
simpAdultL2.064,3,24,cd,R,L,6.242
simpkid_scL2.014,1,2,inf,R,L,6.588
simpkid_scL2.016,1,3,cd,L,R,6.146
simpkid_scL2.021,1,5,inf,L,R,6.252
simpkid_scL2.027,1,8,cd,R,L,6.249
simpkid_scL2.030,2,9,cd,L,R,6.522
simpkid_scL2.037,2,12,inf,R,L,6.457
simpkid_scL2.041,2,14,cd,L,R,6.591
simpkid_scL2.044,2,15,inf,R,L,6.219
simpimp_scL1.015,1,2,inf,L,R,6.41
simpimp_scL1.017,1,3,cd,R,L,6.75
simpimp_scL1.022,1,5,inf,L,R,6.213
simpimp_scL1.028,2,8,cd,L,R,6.146
simpimp_scL1.031,2,9,cd,L,R,6.398
simpimp_scL1.033,2,10,cs,R,L,6.161
simpimp_scL1.038,2,12,inf,R,L,6.127
simpimp_scL1.042,2,14,cd,R,L,6.724
simpimp_scL1.045,2,15,inf,R,L,6.401
simpimp_scL1.047,3,16,cs,L,R,6.252
simpimp_scL1.049,3,17,inf,L,R,6.429
simpimp_scL1.052,3,18,cd,L,R,6.198
simpimp_scL1.063,3,23,inf,R,L,6.208
simpimp_scL1.065,3,24,cd,R,L,6.219
77f6bdba3e0d99f570bb5eabd7e4d523_1920x1080,1,1,cs,R,L,6.242
24e0cd773019fb7189f0c94a631e181c_1920x1080,1,2,inf,L,R,6.41
fcc199badbd8c5e8c6b1a9bb0501f821_1920x1080,1,3,cd,R,L,6.75
7d416e24f8a22d16826b34f93dec919a_1920x1080,1,4,cs,L,R,6.111
0a2102efb3a860b8753789bccea07fd3_1920x1080,1,5,inf,L,R,6.213
7d73a3e3afccad6a139b86131c7feef5_1920x1080,1,6,cs,R,L,6.617
f74917097ed610937f53223f604596c0_1920x1080,1,7,cs,L,R,6.532
efd452a29b9c15f1271f5dabd3685bc6_1920x1080,1,8,cd,L,R,6.146
30b57062c9937bda0b12b50c3dcbd9c7_1920x1080,2,9,cd,L,R,6.398
f55ceee844bbb0e7a1f3a349f123de8b_1920x1080,2,10,cs,R,L,6.161
31bc1aad823553ca22b1d4d20b4c33b1_1920x1080,2,11,cs,R,L,6.236
4b12019b3266882a45e33154f2a76029_1920x1080,2,12,inf,R,L,6.127
ea2b58c63493f02d9dc28ecc6cdcaccc_1920x1080,2,13,cs,L,R,6.149
f216e132b8a43bd171ddbb8d37512b35_1920x1080,2,14,cd,R,L,6.724
b8506c8be8993c17a092eefb97b31eb4_1920x1080,2,15,inf,R,L,6.401
8438a037b87f755a2ff601953b140840_1920x1080,2,16,cs,L,R,6.252
5bd3701a4834eb56bccd2e72e72c4673_1920x1080,1,1,cs,R,L,6.724
6066c0d906a14f906dbb773bf2125102_1920x1080,1,2,inf,R,L,6.588
82d39fd53ec419ae102def198f80c071_1920x1080,1,3,cd,L,R,6.146
7edcfc231814b8b5790132701b8ddefa_1920x1080,1,4,cs,R,L,6.487
e7219908967e976bc23fc92b261f26f3_1920x1080,1,5,inf,L,R,6.252
32b5a5c4eb8d809b4b33f1ce6f4570ef_1920x1080,1,6,cs,R,L,6.429
15c06445133c1da4ec4e7e0901856bfe_1920x1080,1,7,cs,L,R,6.213
e92e24965fdc2b78fb9187cbdcecc9b6_1920x1080,1,8,cd,R,L,6.249
4f7a7d2221aaee9dca9bcee17db80403_1920x1080,2,9,cd,L,R,6.522
7f0290686b84981e3d57074678c986fe_1920x1080,2,10,cs,L,R,6.087
39badb90d91c677c360d3f293c98d100_1920x1080,2,11,cs,R,L,6.157
f2bcb71da209c754ee373eb71c67fb1c_1920x1080,2,12,inf,R,L,6.457
309dad40a23dce1d0fcb91ed584e5b36_1920x1080,2,13,cs,L,R,6.337
f2a4e57bc21fde83e178c57fa9eca784_1920x1080,2,14,cd,L,R,6.591
738bf1c2cb5a48da3be2a8f81d894fe0_1920x1080,2,15,inf,R,L,6.219
594fa7cc8d994ad48a71b69c82773990_1920x1080,2,16,cs,L,R,6.41
ea658a9f8537c00a4857d0523d541733_1920x1080,1,2,inf,R,L,6.588
721829aff8551b6dca5378b6bc4ebf4a_1920x1080,1,3,cd,L,R,6.146
41b085b7ee124b980ede84d6368c2439_1920x1080,1,5,inf,L,R,6.252
8e14cc9f40ece0f8e5d1cecf85fed2c8_1920x1080,1,8,cd,R,L,6.249
a0670a80ac34f202400d6e0f289d1976_1920x1080,2,9,cd,L,R,6.522
70f87a877e6aee51c0160e30228587fb_1920x1080,2,12,inf,R,L,6.457
11bb0360d6d1562b970d8fb835908c42_1920x1080,2,14,cd,L,R,6.591
1b0411eafe3aea895863e4db67d7ca37_1920x1080,2,15,inf,R,L,6.219
ea1d669e631b531e4f7c77db1ee3879d_1920x1080,1,2,inf,L,R,6.41
ea7e53c3088396677b11623d12ff766f_1920x1080,1,3,cd,R,L,6.75
a43cd70198315e7f1013da76cd7eaa54_1920x1080,1,5,inf,L,R,6.213
59ebc8b875f2f089393b42b60c5354b3_1920x1080,1,8,cd,L,R,6.146
c18977e9abe93fbb777e88aa2efd0a19_1920x1080,2,9,cd,L,R,6.398
615a9e890f825adc5e64fd5bec250707_1920x1080,2,10,cs,R,L,6.161
74a4dc261f59e194b347e531e20aadf9_1920x1080,2,12,inf,R,L,6.127
bf62840b16817f52cc891586c1344206_1920x1080,2,14,cd,R,L,6.724
ee7587bded23fcbff8f9e25d10544d47_1920x1080,2,15,inf,R,L,6.401
f3467c3c55ef8de660979156c52a8742_1920x1080,2,16,cs,L,R,6.252